"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-11-19","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-11-20","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-11-21","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-11-22","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-11-23","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-11-24","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-11-25","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-11-26","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-11-27","1.82",",,N",,,,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-11-28","0.00","T,,N",,,,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-11-29","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-11-30","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-01","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-02","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-03","0.03",",,N",,,,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-04","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-05","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-06","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-07","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-08","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-09","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-10","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-11","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-12","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-13","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-14","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-15","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-17","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-18","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-20","0.20",",,N",,,,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-21","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-22","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-23","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-24","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-25","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-26","0.00",",,N","0.0",",,N",,,,,,
"US1CASZ0047","SANTA CRUZ 8.9 NW, CA US","37.06355","-122.1514","530.0","2017-12-27","0.00",",,N","0.0",",,N",,,,,,
